No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
147,"Füllkrug, Niclas",Werder Bremen,Sturm,12,1,3,"33,33%",268
147,Edu,FC Schalke 04,Sturm,11,1,19,"5,26%",641
147,"Younes, Amin",Bor. Mönchengladbach,Mittelfeld,11,1,7,"14,29%",526
147,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,11,1,12,"8,33%",677
147,"Russ, Marco",Eintracht Frankfurt,Abwehr,10,1,8,"12,50%",621
147,"Papadopoulos, Kyriakos",FC Schalke 04,Abwehr,10,1,9,"11,11%",810
147,"Ede, Chinedu",1. FSV Mainz 05,Sturm,9,1,7,"14,29%",196
147,"Iličević, Ivo",Hamburger SV,Mittelfeld,8,1,8,"12,50%",333
147,"Geis, Johannes",SpVgg Greuther Fürth,Mittelfeld,8,1,11,"9,09%",522
147,"Hoffer, Erwin",Eintracht Frankfurt,Sturm,6,1,6,"16,67%",190
147,"Terrazzino, Marco",SC Freiburg,Mittelfeld,6,1,2,"50,00%",163
147,Cacau,VfB Stuttgart,Sturm,5,1,7,"14,29%",332
147,"Vukčević, Boris",1899 Hoffenheim,Mittelfeld,5,1,5,"20,00%",359
147,"Bittencourt, Leonardo",Borussia Dortmund,Mittelfeld,5,1,2,"50,00%",217
147,Felipe,Hannover 96,Abwehr,4,1,1,"100,00%",239
147,"Nikçi, Adrian",Hannover 96,Mittelfeld,4,1,2,"50,00%",126
147,"Can, Emre",Bayern München,Mittelfeld,4,1,5,"20,00%",216
147,"Klasnić, Ivan",1. FSV Mainz 05,Sturm,3,1,2,"50,00%",68
147,"Trinks, Florian",SpVgg Greuther Fürth,Mittelfeld,2,1,3,"33,33%",103
